date,tmax,tmin,prec,rs,rh,u2_obs,eto
2022-08-02,30.98,21.57,0.04,22.87,71.87,1.23,4.817949488337244
2022-08-03,32.27,19.53,0.08,20.27,73.76,1.1,4.4109228838986905
2022-08-04,32.17,20.77,0.03,18.99,74.97,0.95,4.238969435823617
2022-08-05,31.01,21.63,0.11,18.39,74.54,0.95,4.1261601716466645
2022-08-06,33.12,22.46,0.01,21.74,70.96,1.04,4.931200369491202
2022-08-07,33.11,21.19,0.0,18.41,72.27,1.04,4.349551113036626
2022-08-08,34.16,21.15,0.04,23.05,64.85,1.12,5.351748021517677
2022-08-09,34.23,20.3,0.04,21.56,65.13,1.01,5.106678165599026
2022-08-10,34.14,21.12,0.0,20.23,64.82,0.72,4.9614717364345475
2022-08-11,34.7,20.56,0.0,21.49,65.66,0.71,5.141625864047645
2022-08-12,34.65,22.14,0.28,16.26,67.11,0.83,4.394441717163841
2022-08-13,32.65,22.19,2.38,16.44,72.98,1.2,4.061432698313546
2022-08-14,33.53,20.69,0.07,22.41,66.11,1.21,5.164440864885859
2022-08-15,33.82,20.64,0.0,24.34,60.86,1.01,5.623973982313169
2022-08-16,34.53,19.79,0.0,23.89,60.78,1.08,5.603163902666045
2022-08-17,34.84,19.39,0.0,23.9,53.97,1.03,5.834791315013097
2022-08-18,34.26,20.99,0.58,20.51,65.8,0.88,5.000546246862557
2022-08-19,35.01,21.55,0.09,22.9,64.36,1.02,5.491062775099046
2022-08-20,35.09,22.62,0.0,19.64,50.71,1.22,5.543987965917267
2022-08-21,34.15,19.78,0.0,24.37,47.15,1.56,6.056517751310362
2022-08-22,32.86,20.11,0.0,22.93,50.5,1.29,5.66696008323714
2022-08-23,34.51,22.24,0.0,23.51,56.57,1.07,5.821160582550154
2022-08-24,34.79,21.71,0.0,18.94,57.93,1.03,5.1515016601038255
2022-08-25,35.19,22.89,0.0,16.37,57.32,1.05,4.890798431773241
2022-08-26,35.2,22.24,0.0,20.65,56.15,1.11,5.516323983071234
2022-08-27,35.35,21.08,0.0,24.05,53.0,1.24,6.054801494290886
2022-08-28,35.99,20.85,0.0,22.99,52.47,1.12,5.990636663950429
2022-08-29,36.78,21.57,0.0,24.66,43.85,1.06,6.5887882934875535
2022-08-30,36.58,21.77,0.0,17.6,54.56,1.0,5.266100627286027
2022-08-31,36.21,22.74,0.0,20.92,52.3,1.28,5.817705123425151
2022-09-01,36.24,22.58,0.0,25.14,45.04,1.32,6.612575964506974
2022-09-02,36.19,20.85,0.0,25.5,44.47,1.21,6.604107712253961
2022-09-03,36.51,20.64,0.0,23.33,47.36,1.09,6.269918230845287
2022-09-04,37.63,21.73,0.0,23.23,50.62,1.1,6.321246335986459
2022-09-05,37.0,22.84,0.0,23.03,55.75,1.26,6.108857490384805
2022-09-06,36.7,24.85,0.01,22.13,51.6,1.48,6.169376928942349
2022-09-07,36.9,22.39,0.0,21.24,44.94,1.33,6.18691227538703
2022-09-08,35.08,23.12,0.07,20.0,53.56,1.18,5.5817637706255265
2022-09-09,36.66,22.39,0.0,19.0,55.55,1.09,5.48598896252487
2022-09-10,37.47,23.46,0.0,21.25,48.49,0.9,6.177396900264276
2022-09-11,38.1,23.1,0.0,24.13,49.52,0.87,6.614250938336053
2022-09-12,36.59,24.48,0.01,15.92,54.17,1.15,5.155785570152531
2022-09-13,37.14,23.03,0.02,17.48,51.97,1.07,5.473494838555103
2022-09-14,37.92,23.52,0.01,22.12,51.0,0.98,6.280532877490454
