ID_Modelo,Raio,Num_Regras,R2_Score
308,0.1635601690932163,59,0.5783518933197426
309,0.17305416487527844,51,0.5939943556879222
310,0.029585710496066904,190,0.7613809049662909
311,0.07271928865533736,128,0.7275134464908862
312,0.12460865033227189,76,0.6005727583442244
313,0.15132532270652158,64,0.5964763741763586
314,0.1007600721901266,95,0.6388652583365005
315,0.10404999459143116,89,0.6138646679114375
316,0.14317797802819288,67,0.5619918841987793
317,0.17824027843718815,47,0.5954436380891782
318,0.0920177064978085,105,0.6873390329333613
319,0.07146196046579943,130,0.726743963836016
320,0.12173220346872475,76,0.6005727583442244
321,0.07836189058529154,123,0.7366354591010931
322,0.12551850479096752,76,0.6005727583442244
323,0.11034204737416942,85,0.6201452160409909
324,0.07621395097612896,125,0.7412276264807725
325,0.047457648638563436,164,0.7686541972327705
326,0.026582721975286973,194,0.7556746786434174
327,0.05646173899850021,154,0.7579384972155103
328,0.02975839141190871,190,0.7613809049662909
329,0.07691793940095254,125,0.7412276264807725
330,0.08336972513221416,115,0.7160724396606295
331,0.045964271196926657,167,0.7677811785168396
332,0.16720091541438434,54,0.5886254711279151
333,0.18368479711129057,45,0.5839806751536223
334,0.1415363519972541,69,0.6073748767459017
335,0.12688596196156332,76,0.6005727583442244
336,0.15136483583022936,64,0.5964763741763586
337,0.1428136821675532,69,0.6073748767459017
338,0.1254917751466911,76,0.6005727583442244
339,0.0807359465801845,119,0.7370156367710627
340,0.08077438900494124,119,0.7370156367710627
341,0.11350090761577122,84,0.6210753846778686
342,0.18919301331066174,44,0.5857810677281452
343,0.185258034230345,45,0.5839806751536223
344,0.13231212311489152,72,0.6089911610180376
345,0.19849585308124243,44,0.5858617559417173
346,0.17234336373746578,51,0.5939943556879222
347,0.056641688491631245,154,0.7369122534050676
348,0.04286408446275188,171,0.7960319913544244
349,0.14401329628348736,65,0.5507686780418265
350,0.11934828333703175,77,0.6242600893804666
351,0.16019121240772738,60,0.5891828626394413
352,0.07322960947525148,128,0.7275134464908862
353,0.09702285295065433,100,0.6802069292975821
354,0.05426287443415269,157,0.7474391717815387
355,0.16466979460249603,57,0.583332419131324
356,0.12156527129010647,76,0.6005727583442244
357,0.09255394970840057,105,0.6873390329333613
358,0.1185249418203164,77,0.6242600893804666
359,0.1273966755588094,75,0.6048889185574525
360,0.10633475121282104,88,0.6157810275275662
361,0.03998926753855471,179,0.7754459904651286
362,0.07287608342485478,128,0.7275134464908862
363,0.05186216079004388,158,0.7470999907708222
364,0.07349441856704181,128,0.7275134464908862
365,0.08446547853074507,114,0.7167369833013818
366,0.04148266671304223,176,0.7761718466779911
367,0.11877081294529478,77,0.6242600893804666
368,0.12207465788708928,76,0.6005727583442244
369,0.11277547998145757,85,0.6201452160409909
370,0.027973810093942425,192,0.7609132530929409
371,0.10272728525372557,93,0.6404561656221206
372,0.037968371587552716,182,0.7785617885608692
373,0.052474173431816755,158,0.7470999907708222
374,0.19783179108281823,44,0.5858617559417173
375,0.06301794139834963,142,0.7260972335387714
376,0.1249550565751908,76,0.6005727583442244
377,0.046674611366529624,167,0.7677811785168396
378,0.12936953125172174,74,0.6061146770166976
379,0.16785180180457532,54,0.5886254711279151
380,0.030439472963241024,190,0.7613809049662909
381,0.18057854874369098,46,0.5980060732361626
382,0.1893420138289567,44,0.5857810677281452
383,0.16303086088234542,59,0.5783518933197426
384,0.026399487807614017,196,0.7683746789831017
385,0.07781214664478105,124,0.7416638481112668
386,0.03900273501488863,181,0.7777935117447269
387,0.0740320035956809,126,0.7404347482537035
388,0.06208050277962133,145,0.7260466945594731
389,0.11349324991264743,84,0.6210753846778686
390,0.06033732185116057,149,0.735542937539597
391,0.07429532583737845,126,0.7404347482537035
392,0.05257483462905012,158,0.7470999907708222
393,0.19119333900894192,44,0.5858617559417173
394,0.13290550375638072,72,0.6089911610180376
395,0.03768573247041442,184,0.778398074578781
396,0.06259937156224944,143,0.7257400820702776
397,0.09018272258242917,108,0.6542049718407132
398,0.14966338383910507,62,0.5549040031108727
399,0.10777694885065796,88,0.6157810275275662
400,0.050765993545250424,159,0.7626405449497117
401,0.05896500223913264,151,0.7347669098362077
402,0.10762003967773093,88,0.6157810275275662
403,0.06627196404326569,136,0.7380810911753903
404,0.10619344873652792,88,0.6157810275275662
405,0.11242941919509268,85,0.6201452160409909
406,0.0809586615288592,119,0.7370156367710627
407,0.09400713117500159,102,0.678427980098556
408,0.09180795117835013,105,0.6873390329333613
409,0.09787703725087056,98,0.6819527889297616
410,0.16183226099440254,60,0.5893867407099698
411,0.19118716015647771,44,0.5858617559417173
412,0.19020777548369275,44,0.5858617559417173
413,0.12566460331600002,76,0.6005727583442244
414,0.17939900556390304,46,0.5979855153354818
415,0.09454487781356473,102,0.678427980098556
416,0.14612321185758798,64,0.5519695781677193
417,0.16650856106029088,54,0.5890264189053729
418,0.07786379418186477,123,0.7366354591010931
419,0.02171698474578164,203,0.7696493347898765
420,0.04209791702515874,174,0.7935682433811534
421,0.13663817645458406,70,0.6017352362963495
422,0.1166403408685951,80,0.6254626757591615
423,0.05325396672256729,157,0.7474391717815387
424,0.1878666622671444,45,0.5839806751536223
425,0.07469630550838124,126,0.7407593133508987
426,0.08240115849242019,117,0.7150382196476288
427,0.12268395410794564,76,0.6005727583442244
