tensao_solo_kpa,chuva_bool,tmax_max_3d_c,dap,classe_irrigacao
64.81601123836839,0,36.5,101,1
64.81601123836839,0,37.0,102,1
64.81601123836839,0,37.0,103,1
659.0925213725499,0,35.0,14,1
563.0796055970953,0,33.9,15,1
525.5498417440715,1,33.0,16,0
393.1795907435942,0,33.0,17,0
366.65744990063496,0,33.4,18,0
376.24142530700465,0,33.4,19,1
369.81907077439786,0,33.4,20,1
342.38194447539865,0,33.4,21,1
296.42916869602453,0,34.1,22,1
278.3581187231205,0,34.2,23,1
261.9472293015955,0,34.5,24,1
246.6067781918031,0,34.5,25,1
231.88255822655543,0,34.5,26,1
204.83614768582876,0,34.6,27,1
192.68340060873876,0,34.7,28,1
180.10338159224204,0,34.7,29,1
168.91129208264047,0,34.7,30,1
159.12056901492375,0,34.7,31,1
150.45281177033374,0,34.7,32,1
142.51540122139602,0,34.7,33,1
134.99842455136272,0,34.5,34,1
120.89919773632998,0,34.5,35,1
114.50104783903703,0,34.5,36,1
108.41583321055397,0,34.5,37,1
102.09591662974137,0,34.3,38,1
96.42406190177505,0,34.3,39,1
91.4220165274559,0,34.3,40,1
86.96041338173123,0,34.3,41,1
82.8458222978491,0,34.3,42,1
78.92232829391425,0,34.4,43,1
75.14284681527009,0,34.4,44,2
71.52440284061232,0,34.4,45,2
68.07935033437009,0,34.4,46,1
64.81601123836839,0,35.6,47,2
64.81601123836839,0,35.9,48,1
64.81601123836839,0,35.9,49,2
64.81601123836839,0,35.9,50,2
64.81601123836839,0,36.0,51,2
64.81601123836839,0,36.4,52,2
64.81601123836839,0,36.4,53,2
64.81601123836839,0,36.4,54,2
64.81601123836839,0,35.6,55,2
64.81601123836839,0,35.6,56,2
64.81601123836839,0,36.3,57,2
64.81601123836839,0,36.3,58,2
64.81601123836839,0,36.6,59,2
64.81601123836839,0,36.6,60,2
64.81601123836839,0,36.6,61,2
64.81601123836839,0,36.0,62,2
64.81601123836839,0,36.0,63,1
64.81601123836839,0,36.0,64,2
64.81601123836839,0,35.7,65,2
64.81601123836839,0,35.7,66,2
64.81601123836839,0,35.7,67,2
64.81601123836839,0,35.3,68,2
64.81601123836839,0,35.3,69,2
64.81601123836839,0,35.3,70,2
64.81601123836839,0,35.3,71,2
64.81601123836839,0,35.3,72,2
64.81601123836839,0,35.5,73,2
64.81601123836839,0,35.5,74,2
64.81601123836839,0,35.5,75,2
64.81601123836839,0,35.5,76,2
64.81601123836839,0,35.5,77,2
64.81601123836839,0,35.4,78,2
64.81601123836839,0,35.4,79,2
64.81601123836839,0,37.2,80,2
